Jobtitle,Companyname,Locations,Skills
Odoo Developer,Yodawy Med -,"Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · Git · HTML · Information Technology (IT) · JavaScript · Odoo · ORM
Senior Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting
Senior odoo developer,Algoriza -,"Giza, Egypt ",Experienced · 5 - 9 Yrs of Exp · IT/Software Development · CSS · Computer Science · HTML · front-end · Information Technology (IT) · JavaScript · Odoo · PostgreSQL · Programming
System Engineer,Teleperformance - Egypt -,"Katameya, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · engineer · Computer Science · Information Technology (IT) · System engineer · system · Engineering
Python Developer,coto -,"Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Django · API · AI · Data Processing · Computer Science · Docker · Engineering · Information Technology (IT) · MongoDB
Integration Specialist,Confidential -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Integration · Java · JSON · ETL · Programming · JavaScript
Automation Engineer,Confidential -,"Beni Suef, Beni Suef, Egypt ",Experienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Automation · PLC · Installation · Information Technology (IT) · Engineering · Electrical Engineering · Python · Programming
Senior Magento Developer,Bnaia -,"Maadi, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · MySQL · PHP · Software Development · Software Engineering · Computer Science · Development · Information Technology (IT)
Odoo Developer,MOTHOL -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · CSS · ERP · HTML · Information Technology (IT) · JavaScript · Linux · Odoo · PostgreSQL · Python
Odoo Developer,Mittal for Consultation -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Information Technology (IT) · Computer Science · Agile · Software Development · CSS · HTML
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch
Junior Software Tester,RDI -,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Testing · Software Testing · QC · Quality Control · Automation Testing · API · JMeter
Data Analyst,Options -,"Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst · Computer Science · Python · SQL · AWS · Information Technology (IT)
Django Developer,Confidential -,"Sheikh Zayed, Giza, Egypt ",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Back-End Development · Amazon AWS · Computer Science · Engineering · CSS · Git
Data Analyst,Carina Wear -,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Microsoft Power BI · business · Analysis · Computer Science · Big Data Analytics · Power BI
ICT/ Coding Teacher - 6 of October City,Confidential -,"6th of October, Giza, Egypt ",Experienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · ICT · Computer Science · Teaching · Teacher · UK Curriculum · PGCE · python · JavaScript
BI Data Analyst,Confidential -,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI Analyst · Data Analyst · excel · Power BI · Python · Data Analysis · Information Technology (IT)
Odoo Developer,Confidential -,"Cairo, Egypt ",Experienced · 7 - 15 Yrs of Exp · IT/Software Development · ERP · Odoo · PostgreSQL · Python · Software Development · Information Technology (IT) · XML · Programming · Computer Science
AI Data Science and Machine Learning Instructor,CLS Learning Solutions -,"Dokki, Giza, Egypt ",Experienced · 3 - 15 Yrs of Exp · Training/Instructor · Machine Learning · AI · Deep Learning · Data Science · Python · Natural Language Processing · Neural Networks · Training · Teaching
Odoo Developer,Trio M Smart Solutions  -,"Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Python · XML · PostgreSQL
Software Engineer,R.D.T Sports Equipment Trading EST -,"Alexandria, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Software · Software Development · Computer Science · Engineering · CSS · Information Technology (IT) · Programming
Linux System Administrator/ Integrator,Confidential -,"Smart Village, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Linux · Python · System Administration
Machine Learning Engineer,Citylogix ME -,"New Cairo, Cairo, Egypt ",Experienced · 7 - 11 Yrs of Exp · IT/Software Development · Engineering · Deep Learning · Computer Science · Programming · Python · TensorFlow · PyTorch · Data visualization
Data Scientist,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Computer Science · Data Analytics · Data Science · Data · data scientist · Information Technology (IT) · Mathematics · Science · Python
Data Scientist,Wakeb Data -,"Mohandessin, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · data scientist · Python
Odoo Developer,Confidential -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Odoo Developer · Odoo · developer · Python · Computer Science · HTML · JavaScript
Senior Backend Developer,Fox Soft -,"San Stefano, Alexandria, Egypt ",Senior Management · 3 - 5 Yrs of Exp · IT/Software Development · PHP · Python · Information Technology (IT) · MySQL · Software · Software Development
Front-End Developer,Shebak -,"Smart Village, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · javaScript · Git · Linux · Information Technology (IT) · Troubleshooting · SQL
DevOps Engineer,Softec Technologies -,"Maadi, Cairo, Egypt ",Experienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Information Technology (IT) · Java · Software Development · Unix · Azure · Engineering
AI Engineer,Paxerahealth Corp -,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · AI · Computer Science · Information Technology (IT) · Machine Learning · Programming · Frameworks · Artificial Intelligence
Senior Developer - Enterprise Software,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Fullstack · Frontend Development · HTML · CSS · javaScript · Backend Development
Senior Odoo Developer,Beyond Insurance Brokerage -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · JavaScript · Python · Scrum · Odoo Development · Odoo · CSS · HTML
Senior Odoo Developer,Confidential -,"Nasr City, Cairo, Egypt ",Experienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Odoo ERP · Accounting · Computer Science · Odoo Development
Computer Vision Engineer,RTR Software Solutions  -,"Nasr City, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · English · technical · Engineering · Communication skills · Python · Computer Vision · NLP · yolo
Senior Odoo Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Computer Science · Agile · CSS
Senior Backend Developer,Pioneers Now -,"Nasr City, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Business Development · IT/Software Development · Software · backend · Computer Science · Design · Engineering · Information Technology (IT) · Python · Software Engineering
Business Analyst Manager,Aqarmap.com -,"Nasr City, Cairo, Egypt ",Manager · 3 - 7 Yrs of Exp · Business Development · Operations/Management · Analyst/Research · Analysis · Economics · Market Research · Communication skills · Business Development · Marketing Research · Research Analysis
Senior .NET Full Stack Developer (.NET Core & Angular),Lumin -,"Sheikh Zayed, Giza, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python
Machine Learning Engineer,WUZZUF -,"Maadi, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · ElasticSearch · Machine Learning · Web Development · Pandas · Information Retrieval · Recommender Systems
"Senior System Engineer ""German Speaker""",TRIMETIS -,"Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JIRA · Zabbix · Ansible · Python · Bash · Docker · german · English
