,"('Experienced', 116)"
202,"('Project/Program Management', 1)"
203,"('PMP', 1)"
204,"('Civil Engineering', 1)"
205,"('Management', 1)"
206,"('Customer Service/Support', 1)"
207,"('ccie', 1)"
208,"('cybersecurity', 1)"
209,"('Software Development', 46)"
210,"('0 - 5 Yrs of Exp', 1)"
211,"('Education/Teaching', 7)"
212,"('5 - 8 Yrs of Exp', 4)"
213,"('Engineering - Telecom/Technology', 122)"
214,"('React', 9)"
215,"('Django', 7)"
216,"('RESTful API', 2)"
217,"('Microservice Architecture', 1)"
218,"('Database Systems', 1)"
219,"('Flask', 3)"
220,"('Python Scripting', 1)"
221,"('Web Scraping', 1)"
222,"('Business Development', 8)"
223,"('JavaScript', 21)"
224,"('Angular', 6)"
225,"('Manager', 5)"
226,"('8 - 15 Yrs of Exp', 1)"
227,"('Operations/Management', 2)"
228,"('React Native', 3)"
229,"('Programming', 19)"
230,"('7 - 15 Yrs of Exp', 2)"
231,"('Analyst/Research', 29)"
232,"('Microsoft Excel', 10)"
233,"('3 - 10 Yrs of Exp', 4)"
234,"('Agile', 7)"
235,"('PostgreSQL', 7)"
236,"('Automation', 7)"
237,"('Web Application', 1)"
238,"('Installation', 4)"
239,"('engineer', 3)"
240,"('Design', 4)"
241,"('ERP Implementation', 1)"
242,"('Accounting', 3)"
243,"('Spark', 1)"
244,"('Hive', 1)"
245,"('Data Modeling', 2)"
246,"('1 - 4 Yrs of Exp', 4)"
247,"('REST', 1)"
248,"('Database', 3)"
249,"('Web Development', 8)"
250,"('3 - 7 Yrs of Exp', 3)"
251,"('Communication', 2)"
252,"('networks', 1)"
253,"('LAN', 1)"
254,"('3+ Yrs of Exp', 4)"
255,"('jQuery', 1)"
256,"('ERP System', 1)"
257,"('Data', 4)"
258,"('Business Analysis', 3)"
259,"('5 - 10 Yrs of Exp', 2)"
260,"('phd', 1)"
261,"('Customer Operations Performance Centre', 1)"
262,"('MBA', 1)"
263,"('Software Engineering', 23)"
264,"('4 - 6 Yrs of Exp', 5)"
265,"('.Net', 2)"
266,"('ASP.Net', 1)"
267,"('MVC', 1)"
268,"('OOP', 2)"
269,"('NoSQL Database', 2)"
270,"('Teaching', 6)"
271,"('Electronics', 2)"
272,"('Git', 5)"
273,"('ORM', 1)"
274,"('analytical', 1)"
275,"('Reporting', 1)"
276,"('5 - 9 Yrs of Exp', 1)"
277,"('system', 1)"
278,"('Integration', 1)"
279,"('Engineering - Mechanical/Electrical', 12)"
280,"('PLC', 1)"
281,"('5 - 20 Yrs of Exp', 1)"
282,"('Senior Python Developer', 1)"
283,"('Kubernetes', 2)"
284,"('4 - 7 Yrs of Exp', 1)"
285,"('API', 3)"
286,"('Data Processing', 1)"
287,"('MongoDB', 2)"
288,"('Computer Vision', 3)"
289,"('PyTorch', 2)"
290,"('Testing', 3)"
291,"('Automation Testing', 4)"
292,"('JMeter', 1)"
293,"('AWS', 4)"
294,"('Back-End Development', 1)"
295,"('Big Data Analytics', 1)"
296,"('2 - 6 Yrs of Exp', 2)"
297,"('ICT', 1)"
298,"('Teacher', 1)"
299,"('UK Curriculum', 1)"
300,"('PGCE', 1)"
301,"('BI Analyst', 1)"
302,"('Data Analyst', 2)"
303,"('XML', 2)"
304,"('3 - 15 Yrs of Exp', 1)"
305,"('Deep Learning', 2)"
306,"('Natural Language Processing', 1)"
307,"('2 - 4 Yrs of Exp', 5)"
308,"('Software', 10)"
309,"('Data visualization', 1)"
310,"('4+ Yrs of Exp', 4)"
311,"('Mathematics', 1)"
312,"('javaScript', 8)"
313,"('3 - 3 Yrs of Exp', 1)"
314,"('Unix', 1)"
315,"('Azure', 4)"
316,"('Backend Development', 1)"
317,"('Odoo Development', 5)"
318,"('English', 4)"
319,"('NLP', 3)"
320,"('yolo', 1)"
321,"('Economics', 1)"
322,"('Market Research', 1)"
323,"('Marketing Research', 1)"
324,"('ADO.NET', 1)"
325,"('C#.Net', 1)"
326,"('.NET', 1)"
327,"('.NEt Full Stack Developer', 1)"
328,"('Full Stack Developer', 2)"
329,"('ElasticSearch', 1)"
330,"('Recommender Systems', 1)"
331,"('JIRA', 2)"
332,"('Bash', 1)"
333,"('Odoo Modules', 1)"
334,"('developer', 4)"
335,"('PHP developer', 1)"
336,"('MEAN Stack', 1)"
337,"('Mobile Development', 2)"
338,"('Web Design', 1)"
339,"('Not specified', 9)"
340,"('computer science', 7)"
341,"('information technology (it)', 7)"
342,"('data entry', 3)"
343,"('Learning', 2)"
344,"('E-Learning', 2)"
345,"('Data Scientist', 3)"
346,"('Administration', 2)"
347,"('html', 1)"
348,"('coding', 1)"
349,"('Mechanical Engineering', 3)"
350,"('linux', 1)"
351,"('software', 2)"
352,"('Blockchain', 1)"
353,"('Sales/Retail', 3)"
354,"('Customer Support', 3)"
355,"('Jenkins', 1)"
356,"('QA', 2)"
357,"('Bugzilla', 1)"
358,"('Cypress', 1)"
359,"('Selenium', 2)"
360,"('computer', 4)"
361,"('Networks', 4)"
362,"('males_only', 2)"
363,"('Databases', 1)"
364,"('Help desk', 1)"
365,"('Oracle', 1)"
366,"('Microsoft SQL Server', 1)"
367,"('PHP Web Development', 1)"
368,"('Smart Home', 1)"
369,"('3 - 20 Yrs of Exp', 1)"
370,"('Cloud', 2)"
371,"('Simulation', 1)"
372,"('Game development', 1)"
373,"('c++', 1)"
374,"('data labeling', 1)"
375,"('#data', 1)"
376,"('J2EE', 1)"
377,"('JSP', 1)"
378,"('ISTQB', 2)"
379,"('Analytical Skills', 1)"
380,"('Mobile Application Development', 1)"
381,"('Cloud Computing', 1)"
382,"('DNS', 1)"
383,"('Azure Active Directory', 1)"
384,"('Active Directory', 1)"
385,"('IT Service Management', 1)"
386,"('Informatica PowerCenter', 1)"
387,"('6 - 10 Yrs of Exp', 1)"
388,"('Cloud Development', 1)"
389,"('Internship', 1)"
390,"('Frontend', 1)"
391,"('Startup', 3)"
392,"('Github', 1)"
