id,site,job_url,job_url_direct,title,company,location,job_type,date_posted,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,company_industry,listing_type,emails,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url
1009411580728,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009411580728,,Staff Software Engineer - Frontend,Datadog,"New York, NY",,2024-08-20,direct_data,yearly,234000.0,300000.0,USD,False,,,,organic,,https://www.glassdoor.com/Overview/W-EI_IE762009.htm,,,,,,https://media.glassdoor.com/sql/762009/datadog-squarelogo-1460562074574.png,,,
2bb17ebab6fe2ff1,indeed,https://www.indeed.com/viewjob?jk=2bb17ebab6fe2ff1,https://ameripros.net/careers.html,Computer Software Engineer - Level 2,American Professionals,"Piscataway, NJ, US",,2023-04-03,direct_data,yearly,88940.0,112617.0,USD,False,,,,,,https://www.indeed.com/cmp/American-Professionals,,,,,,,,,
4002140721,linkedin,https://www.linkedin.com/jobs/view/4002140721,,Software Engineer - Early Career (2025),Figma,"New York, NY",,2024-08-19,,,,,,,,,,,,https://www.linkedin.com/company/figma,,,,,,,,,
e9Ocfk-AZdrNccwkacC7bA,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=e9Ocfk-AZdrNccwkacC7bA,,Lead Software Engineer - Automation,JPMorgan Chase & Co,"Jersey City, NJ, USA",,2024-08-16,direct_data,yearly,152000.0,215000.0,USD,,,,,agency,,,,,,,,,,,
